0.001,0.0988802,9.3112
0.001,0.0988806,9.3112
0.001,0.0878933,8.13684
0.001,0.0878933,8.13684
0.001,0.990937,2.00781
0.001,0.990938,2.00781
0.001,0.99094,2.00781
0.001,3.47515,0.749535
0.001,3.47515,0.749535
0.001,3.20994,0.0439467
0.001,0.699794,8.84671
0.001,0.699797,8.84671
0.001,8.29585,0.580157
0.001,8.29585,0.580157
0.001,8.29584,0.580157
0.001,9.93225,3.95856
0.001,9.93225,3.95856
0.001,9.93225,3.95856
0.001,8.53755,1.11087
0.001,8.40389,1.41758
0.001,8.81863,8.45515
0.002,0.0988812,9.3112
0.002,0.0988821,9.3112
0.002,0.0878933,8.13684
0.002,0.0878933,8.13684
0.002,0.990942,2.00781
0.002,0.990945,2.00781
0.002,0.990949,2.00781
0.002,3.47516,0.749535
0.002,3.47516,0.749535
0.002,3.20994,0.0439467
0.002,0.69981,8.84671
0.002,0.699816,8.84671
0.002,8.29584,0.580157
0.002,8.29584,0.580157
0.002,8.29584,0.580157
0.002,9.93225,3.95856
0.002,9.93225,3.95856
0.002,9.93225,3.95856
0.002,8.53755,1.11087
0.002,8.4039,1.41758
0.002,8.81863,8.45515
0.003,0.0988831,9.3112
0.003,0.0988844,9.3112
0.003,0.0878933,8.13684
0.003,0.0878933,8.13684
0.003,0.990954,2.00781
0.003,0.990959,2.00781
0.003,0.990964,2.00781
0.003,3.47517,0.749535
0.003,3.47518,0.749535
0.003,3.20995,0.0439466
0.003,0.699837,8.84671
0.003,0.699846,8.84671
0.003,8.29584,0.580157
0.003,8.29584,0.580157
0.003,8.29583,0.580157
0.003,9.93225,3.95856
0.003,9.93225,3.95856
0.003,9.93225,3.95856
0.003,8.53755,1.11087
0.003,8.40392,1.41758
0.003,8.81862,8.45515
0.004,0.0988859,9.3112
0.004,0.0988876,9.3112
0.004,0.0878933,8.13684
0.004,0.0878933,8.13684
0.004,0.990971,2.00781
0.004,0.990977,2.00781
0.004,0.990985,2.00781
0.004,3.4752,0.749535
0.004,3.47521,0.749535
0.004,3.20996,0.0439466
0.004,0.699877,8.84671
0.004,0.699888,8.84671
0.004,8.29583,0.580157
0.004,8.29583,0.580157
0.004,8.29582,0.580157
0.004,9.93225,3.95856
0.004,9.93225,3.95856
0.004,9.93225,3.95856
0.004,8.53755,1.11087
0.004,8.40396,1.41758
0.004,8.81862,8.45515
0.005,0.0988895,9.3112
0.005,0.0988916,9.3112
0.005,0.0878933,8.13684
0.005,0.0878933,8.13684
0.005,0.990993,2.00781
0.005,0.991002,2.00781
0.005,0.991011,2.00781
0.005,3.47523,0.749535
0.005,3.47525,0.749535
0.005,3.20998,0.0439466
0.005,0.699927,8.84671
0.005,0.699942,8.84671
0.005,8.29582,0.580157
0.005,8.29582,0.580157
0.005,8.29581,0.580157
0.005,9.93225,3.95856
0.005,9.93225,3.95856
0.005,9.93225,3.95856
0.005,8.53755,1.11087
0.005,8.404,1.41758
0.005,8.81862,8.45515
0.006,0.0988939,9.3112
0.006,0.0988965,9.3112
0.006,0.0878933,8.13684
0.006,0.0878933,8.13684
0.006,0.991021,2.00781
0.006,0.991032,2.00781
0.006,0.991043,2.00781
0.006,3.47528,0.749534
0.006,3.47529,0.749534
0.006,3.21,0.0439466
0.006,0.699989,8.84671
0.006,0.700006,8.84671
0.006,8.29581,0.580157
0.006,8.2958,0.580157
0.006,8.2958,0.580157
0.006,9.93225,3.95856
0.006,9.93225,3.95856
0.006,9.93225,3.95856
0.006,8.53755,1.11087
0.006,8.40404,1.41758
0.006,8.81861,8.45515
0.007,0.0988993,9.3112
0.007,0.0989023,9.3112
0.007,0.0878933,8.13684
0.007,0.0878933,8.13684
0.007,0.991055,2.00781
0.007,0.991068,2.00781
0.007,0.991081,2.00781
0.007,3.47533,0.749534
0.007,3.47535,0.749534
0.007,3.21002,0.0439466
0.007,0.700062,8.84671
0.007,0.700082,8.84671
0.007,8.29579,0.580157
0.007,8.29578,0.580157
0.007,8.29578,0.580157
0.007,9.93225,3.95856
0.007,9.93225,3.95856
0.007,9.93225,3.95856
0.007,8.53755,1.11087
0.007,8.4041,1.41758
0.007,8.8186,8.45515
0.008,0.0989055,9.3112
0.008,0.098909,9.3112
0.008,0.0878933,8.13684
0.008,0.0878933,8.13684
0.008,0.991095,2.00781
0.008,0.991109,2.00781
0.008,0.991124,2.00781
0.008,3.47538,0.749534
0.008,3.47541,0.749534
0.008,3.21004,0.0439466
0.008,0.700146,8.84671
0.008,0.700168,8.84671
0.008,8.29577,0.580157
0.008,8.29576,0.580157
0.008,8.29576,0.580157
0.008,9.93225,3.95856
0.008,9.93225,3.95856
0.008,9.93225,3.95856
0.008,8.53755,1.11087
0.008,8.40416,1.41758
0.008,8.8186,8.45515
0.009,0.0989127,9.3112
0.009,0.0989166,9.3112
0.009,0.0878933,8.13684
0.009,0.0878933,8.13684
0.009,0.99114,2.00781
0.009,0.991156,2.00781
0.009,0.991173,2.00781
0.009,3.47545,0.749534
0.009,3.47547,0.749534
0.009,3.21007,0.0439466
0.009,0.70024,8.84671
